epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
97,12345.4,0.50128,0.3617,0.98669,0.93575,0.93035,0.95062,0.86837,0.44179,0.31701,0.91359,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,12469.8,0.49795,0.36165,0.98458,0.93653,0.93282,0.95054,0.86774,0.44246,0.31697,0.91491,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,12594.4,0.49449,0.35806,0.98287,0.938,0.93097,0.95035,0.86765,0.44468,0.31975,0.91723,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,12719.1,0.49044,0.35615,0.98231,0.94023,0.92923,0.95004,0.86743,0.44514,0.31908,0.91807,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,12843.6,0.48635,0.35011,0.98217,0.93986,0.93108,0.95005,0.86722,0.44447,0.31585,0.91813,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,12968.1,0.48286,0.35127,0.97855,0.94022,0.92922,0.95049,0.86792,0.44267,0.31431,0.91732,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,13092.8,0.48153,0.35187,0.97863,0.94038,0.93159,0.95059,0.86861,0.44236,0.31293,0.91725,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,13217.3,0.47957,0.34687,0.97669,0.9393,0.93255,0.9506,0.86826,0.44212,0.31047,0.91695,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,13341.8,0.47769,0.34862,0.97585,0.93895,0.93287,0.95078,0.86843,0.44199,0.31007,0.91721,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,13466.3,0.47939,0.34596,0.97759,0.94145,0.93178,0.95052,0.86952,0.4414,0.30967,0.91713,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,13590.8,0.46793,0.34327,0.96951,0.94276,0.93271,0.95043,0.86922,0.44286,0.3106,0.91927,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,13715.8,0.47344,0.34364,0.97179,0.94068,0.93271,0.95046,0.86922,0.44345,0.31371,0.91963,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,13840.6,0.46652,0.33777,0.97142,0.93942,0.93445,0.95032,0.8693,0.44388,0.31464,0.92002,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,13965.2,0.46851,0.3376,0.97172,0.94043,0.93433,0.95079,0.87007,0.44437,0.31548,0.92069,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,14089.7,0.46284,0.33476,0.96842,0.93967,0.93515,0.95075,0.87014,0.44428,0.31449,0.92033,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,14214.4,0.46072,0.33182,0.96629,0.9409,0.93349,0.95102,0.8694,0.443,0.31467,0.91862,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,14338.9,0.45938,0.33064,0.96865,0.94107,0.93352,0.95084,0.86888,0.4428,0.31521,0.91872,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,14463.8,0.45394,0.32638,0.96565,0.93966,0.93418,0.95118,0.86941,0.44087,0.31523,0.9168,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,14588.6,0.45289,0.33073,0.96332,0.94102,0.93075,0.9512,0.86911,0.44077,0.3162,0.91676,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,14713.2,0.45465,0.32622,0.964,0.94333,0.92888,0.951,0.86929,0.44064,0.31493,0.91658,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,14837.9,0.45008,0.3259,0.96487,0.94427,0.92888,0.95083,0.86866,0.44058,0.31494,0.91644,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,14962.5,0.44336,0.3183,0.95674,0.94485,0.92888,0.95074,0.86909,0.44033,0.3144,0.91593,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,15087,0.4441,0.32038,0.95842,0.94457,0.92888,0.9508,0.86905,0.4397,0.31513,0.9152,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,15211.7,0.43971,0.31385,0.95662,0.94408,0.92888,0.95093,0.86914,0.43976,0.31587,0.91541,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,15336.3,0.44098,0.31578,0.96255,0.94509,0.92839,0.95068,0.86901,0.43992,0.31736,0.9155,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,15461,0.43794,0.31375,0.95526,0.94354,0.92888,0.95064,0.86954,0.4396,0.31983,0.91529,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,15585.6,0.43653,0.31134,0.95617,0.94309,0.92888,0.95029,0.86976,0.44045,0.32123,0.91625,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,15710.4,0.42928,0.30765,0.95246,0.94254,0.92981,0.95,0.86972,0.44072,0.32285,0.91658,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,15834.8,0.42908,0.30861,0.95248,0.94001,0.92981,0.94998,0.86962,0.44063,0.32378,0.91662,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,15959.7,0.42858,0.30676,0.95317,0.94213,0.92914,0.95,0.86886,0.44056,0.32366,0.9166,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,16084.1,0.42333,0.30216,0.9506,0.94213,0.92889,0.94993,0.86967,0.43959,0.32419,0.91591,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,16209.2,0.42431,0.3006,0.95117,0.94154,0.92851,0.94728,0.86921,0.43918,0.32354,0.91544,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,16333.9,0.42035,0.30069,0.9477,0.94178,0.92852,0.94738,0.86895,0.43924,0.32369,0.9153,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,16458.4,0.41921,0.29671,0.94735,0.94184,0.92921,0.94733,0.86945,0.4392,0.3231,0.91562,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,16582.9,0.41346,0.29548,0.94587,0.95028,0.91995,0.94746,0.86949,0.43901,0.3226,0.91537,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,16707.5,0.41482,0.29866,0.94531,0.95041,0.91995,0.94758,0.86968,0.43916,0.32345,0.91544,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,16832.1,0.41215,0.29468,0.9444,0.95095,0.91995,0.94763,0.86995,0.43916,0.323,0.91553,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,16956.6,0.40787,0.29206,0.9429,0.95125,0.91984,0.94482,0.87004,0.43901,0.32235,0.91582,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,17081.3,0.40922,0.28944,0.94257,0.95139,0.91914,0.94475,0.87028,0.43886,0.32284,0.91577,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,17210.5,0.40134,0.28613,0.94191,0.94546,0.92425,0.94469,0.87014,0.4378,0.32241,0.91418,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
